BPC,CCR,Report Date,Entry,Age,ctznRace,ctznSex,Closed,Unit,Allegation,Finding,ofcrRace,ofcrSex
16-31,67157,01/13/2016,Telephone (or TDD),23,Black,Female,04-12-2016,2ND PRECINCT,Search,Sustained,Asian,Male
16-31,67157,01/13/2016,Telephone (or TDD),23,Black,Female,04-12-2016,2ND PRECINCT,Search,Sustained,Black,Male
16-31,67157,01/13/2016,Telephone (or TDD),23,Black,Female,04-12-2016,2ND PRECINCT,Search,Sustained,Hispanic,Male
16-32,67158,01/13/2016,In-Custody,27,Black,Male,04-04-2016,VICE,Force,Not Sustained,Black,Male
16-33,67159,01/14/2016,Telephone (or TDD),26,Black,Female,03/28/2016,12TH PRECINCT,Demeanor,No Charge,Black,Male
16-33,67159,01/14/2016,Telephone (or TDD),26,Black,Female,03/28/2016,12TH PRECINCT,Procedure,Exonerated,Black,Male
16-33,67159,01/14/2016,Telephone (or TDD),26,Black,Female,03/28/2016,12TH PRECINCT,Procedure,Not Sustained,Black,Male
16-33,67159,01/14/2016,Telephone (or TDD),26,Black,Female,03/28/2016,12TH PRECINCT,Service,No Charge,Black,Male
16-34,67160,01/14/2016,Telephone (or TDD),31,Black,Female,03/15/2016,DOWNTOWN SERVICES DIVISION,Demeanor,Not Sustained,Black,Male
16-35,67161,01/14/2016,Telephone (or TDD),58,White,Female,01/27/2016,TELEPHONE CRIME REPORTING UNIT,Procedure,Admin. Closure,Black,Female
16-36,67162,01/14/2016,Telephone (or TDD),83,Unknown,Female,04/15/2016,MAJOR VIOLATORS,Property,Exonerated,Black,Male
16-36,67162,01/14/2016,Telephone (or TDD),83,Unknown,Female,04/15/2016,MAJOR VIOLATORS,Property,No Charge,White,Male
16-36,67162,01/14/2016,Telephone (or TDD),83,Unknown,Female,04/15/2016,MAJOR VIOLATORS,Search,Exonerated,White,Male
16-36,67162,01/14/2016,Telephone (or TDD),83,Unknown,Female,04/15/2016,MAJOR VIOLATORS,Search,Exonerated,White,Male
16-36,67162,01/14/2016,Telephone (or TDD),83,Unknown,Female,04/15/2016,MAJOR VIOLATORS,Search,Exonerated,Black,Male
16-36,67162,01/14/2016,Telephone (or TDD),83,Unknown,Female,04/15/2016,MAJOR VIOLATORS,Search,Exonerated,Hispanic,Male
16-36,67162,01/14/2016,Telephone (or TDD),83,Unknown,Female,04/15/2016,MAJOR VIOLATORS,Search,Exonerated,White,Male
16-36,67162,01/14/2016,Telephone (or TDD),83,Unknown,Female,04/15/2016,MAJOR VIOLATORS,Search,Exonerated,Black,Female
16-37,67163,01/14/2016,Walk In,39,Black,Male,03/30/2016,6TH PRECINCT,Entry,Not Sustained,White,Male
16-37,67163,01/14/2016,Walk In,39,Black,Male,03/30/2016,6TH PRECINCT,Entry,Not Sustained,White,Male
16-37,67163,01/14/2016,Walk In,39,Black,Male,03/30/2016,6TH PRECINCT,Force,No Charge,White,Male
16-37,67163,01/14/2016,Walk In,39,Black,Male,03/30/2016,6TH PRECINCT,Force,Not Sustained,White,Male
16-38,67164,01/14/2016,Telephone (or TDD),33,Black,Female,03-07-2016,9TH PRECINCT,Demeanor,No Charge,Black,Male
16-38,67164,01/14/2016,Telephone (or TDD),33,Black,Female,03-07-2016,9TH PRECINCT,Demeanor,Unfounded,White,Female
16-38,67164,01/14/2016,Telephone (or TDD),33,Black,Female,03-07-2016,9TH PRECINCT,Harassment,No Charge,Black,Male
16-38,67164,01/14/2016,Telephone (or TDD),33,Black,Female,03-07-2016,9TH PRECINCT,Procedure,No Charge,Black,Male
16-38,67164,01/14/2016,Telephone (or TDD),33,Black,Female,03-07-2016,9TH PRECINCT,Procedure,Unfounded,White,Female
16-38,67164,01/14/2016,Telephone (or TDD),33,Black,Female,03-07-2016,9TH PRECINCT,Search,No Charge,Black,Male
16-38,67164,01/14/2016,Telephone (or TDD),33,Black,Female,03-07-2016,9TH PRECINCT,Service,No Charge,Black,Male
16-39,67165,01/15/2016,Online,40,Other,Female,04-04-2016,4TH PRECINCT,Service,Admin. Closure,Unknown,Unknown
16-40,67166,01/15/2016,Online,25,White,Male,01/21/2016,DOWNTOWN SERVICES DIVISION,Service,Admin. Closure,Black,Male
16-41,67167,01/15/2016,Telephone (or TDD),35,Black,Female,02/24/2016,HOMICIDE SECTION,Demeanor,Not Sustained,White,Male
16-41,67167,01/15/2016,Telephone (or TDD),35,Black,Female,02/24/2016,HOMICIDE SECTION,Procedure,No Charge,White,Male
16-41,67167,01/15/2016,Telephone (or TDD),35,Black,Female,02/24/2016,HOMICIDE SECTION,Service,Not Sustained,White,Male
16-42,67168,01/15/2016,Online,46,White,Female,01/21/2016,ARSON,Demeanor,Admin. Closure,Unknown,Unknown
16-43,67169,01/15/2016,Telephone (or TDD),53,Black,Male,03-07-2016,3RD PRECINCT,Procedure,Unfounded,White,Male
16-44,67170,01/16/2016,Walk In,34,Black,Male,02/24/2016,UNKNOWN COMMAND,Force,Admin. Closure,Unknown,Unknown
16-45,67171,01/16/2016,Walk In,11,Black,Female,04-04-2016,9TH PRECINCT,Demeanor,Unfounded,Black,Female
16-45,67171,01/16/2016,Walk In,11,Black,Female,04-04-2016,9TH PRECINCT,Force,Unfounded,Black,Female
16-45,67171,01/16/2016,Walk In,1,Black,Female,04-04-2016,9TH PRECINCT,Demeanor,Unfounded,Black,Female
16-45,67171,01/16/2016,Walk In,1,Black,Female,04-04-2016,9TH PRECINCT,Force,Unfounded,Black,Female
16-46,67172,01/17/2016,Walk In,2,Black,Female,03/30/2016,8TH PRECINCT,Demeanor,Not Sustained,Black,Male
16-47,67173,01/17/2016,Telephone (or TDD),30,White,Female,02/24/2016,COMMUNICATIONS OPERATIONS,Demeanor,Unfounded,Black,Female
16-47,67173,01/17/2016,Telephone (or TDD),30,White,Female,02/24/2016,COMMUNICATIONS OPERATIONS,Procedure,Unfounded,Black,Female
16-48,67174,01/18/2016,Walk In,2,Hispanic,Male,02/24/2016,4TH PRECINCT,Force,Admin. Closure,Black,Female
16-48,67174,01/18/2016,Walk In,2,Hispanic,Male,02/24/2016,4TH PRECINCT,Procedure,Admin. Closure,Black,Female
16-49,67175,01/18/2016,Telephone (or TDD),50,Black,Female,03/22/2016,10TH PRECINCT,Service,Exonerated,Black,Male
16-49,67175,01/18/2016,Telephone (or TDD),50,Black,Female,03/22/2016,10TH PRECINCT,Service,Exonerated,Hispanic,Male
16-50,67176,01/18/2016,Walk In,20,Black,Male,01/25/2016,12TH PRECINCT,Harassment,Admin. Closure,Black,Male
16-50,67176,01/18/2016,Walk In,20,Black,Male,01/25/2016,12TH PRECINCT,Service,Admin. Closure,Black,Male
16-51,67177,01/20/2016,Walk In,44,Black,Male,04/15/2016,5TH PRECINCT,Demeanor,Not Sustained,Black,Male
16-51,67177,01/20/2016,Walk In,44,Black,Male,04/15/2016,5TH PRECINCT,Demeanor,Not Sustained,Black,Male
16-51,67177,01/20/2016,Walk In,44,Black,Male,04/15/2016,5TH PRECINCT,Harassment,No Charge,Black,Male
16-51,67177,01/20/2016,Walk In,44,Black,Male,04/15/2016,5TH PRECINCT,Harassment,No Charge,Black,Male
16-51,67177,01/20/2016,Walk In,44,Black,Male,04/15/2016,5TH PRECINCT,Procedure,Exonerated,Black,Male
16-51,67177,01/20/2016,Walk In,44,Black,Male,04/15/2016,5TH PRECINCT,Procedure,Exonerated,Black,Male
16-51,67177,01/20/2016,Walk In,44,Black,Male,04/15/2016,5TH PRECINCT,Procedure,Not Sustained,Black,Male
16-51,67177,01/20/2016,Walk In,44,Black,Male,04/15/2016,5TH PRECINCT,Procedure,Not Sustained,Black,Male
16-51,67177,01/20/2016,Walk In,44,Black,Male,04/15/2016,5TH PRECINCT,Procedure,Sustained,Black,Male
16-51,67177,01/20/2016,Walk In,44,Black,Male,04/15/2016,5TH PRECINCT,Procedure,Sustained,Black,Male
16-52,67178,01/20/2016,Telephone (or TDD),23,Black,Female,03/30/2016,12TH PRECINCT,Demeanor,Not Sustained,Black,Male
16-53,67179,01/20/2016,Telephone (or TDD),46,Black,Female,04-04-2016,8TH PRECINCT,Demeanor,No Charge,Black,Male
16-53,67179,01/20/2016,Telephone (or TDD),46,Black,Female,04-04-2016,8TH PRECINCT,Demeanor,Unfounded,Black,Female
16-53,67179,01/20/2016,Telephone (or TDD),46,Black,Female,04-04-2016,8TH PRECINCT,Service,Exonerated,Black,Male
16-53,67179,01/20/2016,Telephone (or TDD),46,Black,Female,04-04-2016,8TH PRECINCT,Service,Exonerated,Black,Female
16-53,67179,01/20/2016,Telephone (or TDD),46,Black,Female,04-04-2016,8TH PRECINCT,Service,Not Sustained,Black,Male
16-53,67179,01/20/2016,Telephone (or TDD),46,Black,Female,04-04-2016,8TH PRECINCT,Service,Not Sustained,Black,Female
16-54,67180,01/21/2016,Telephone (or TDD),34,Black,Female,02-04-2016,6TH PRECINCT,Procedure,Admin. Closure,Black,Male
16-54,67180,01/21/2016,Telephone (or TDD),34,Black,Female,02-04-2016,6TH PRECINCT,Procedure,Admin. Closure,White,Male
16-55,67181,01/21/2016,Telephone (or TDD),34,Black,Female,01/22/2016,UNKNOWN COMMAND,Procedure,Void,Unknown,Unknown
16-56,67182,01/21/2016,Telephone (or TDD),34,Black,Female,01/22/2016,UNKNOWN COMMAND,Procedure,Void,Unknown,Unknown
16-57,67183,01/21/2016,Walk In,45,Black,Male,03/30/2016,6TH PRECINCT,Property,No Charge,White,Male
16-57,67183,01/21/2016,Walk In,45,Black,Male,03/30/2016,6TH PRECINCT,Property,Not Sustained,Other,Male
16-58,67184,01/22/2016,Telephone (or TDD),33,Hispanic,Male,02/22/2016,4TH PRECINCT,Procedure,No Charge,White,Male
16-58,67184,01/22/2016,Telephone (or TDD),33,Hispanic,Male,02/22/2016,4TH PRECINCT,Procedure,No Charge,White,Male
16-58,67184,01/22/2016,Telephone (or TDD),33,Hispanic,Male,02/22/2016,4TH PRECINCT,Service,Sustained,White,Male
16-58,67184,01/22/2016,Telephone (or TDD),33,Hispanic,Male,02/22/2016,4TH PRECINCT,Service,Sustained,White,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Demeanor,No Charge,White,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Demeanor,Not Sustained,Black,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Demeanor,Not Sustained,Black,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Force,No Charge,White,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Harassment,No Charge,White,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Procedure,Not Sustained,Black,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Procedure,Not Sustained,Black,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Procedure,Not Sustained,White,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Procedure,Not Sustained,Asian,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Procedure,Not Sustained,Asian,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Procedure,Not Sustained,White,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Procedure,Unfounded,Black,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Procedure,Unfounded,Black,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Procedure,Unfounded,White,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Procedure,Unfounded,Asian,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Procedure,Unfounded,Black,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Procedure,Unfounded,Asian,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Procedure,Unfounded,White,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Procedure,Unfounded,Black,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Search,No Charge,White,Male
16-59,67185,01/23/2016,Walk In,43,Black,Female,04/21/2016,8TH PRECINCT,Search,Not Sustained,Black,Female
16-60,67186,01/23/2016,Walk In,68,White,Male,02-11-2016,UNKNOWN COMMAND,Demeanor,Admin. Closure,Unknown,Unknown
